Video_ID,Upload_Date,Length_Minutes,Views,Ads_Revenue,Sponsorship_Revenue,Donations,Total_Revenue
52,2020-07-16,6.6,13360,-25.0,57.21,-4.71,27.5
53,2023-05-10,7.8,8033,36.35,-1.52,4.66,39.48
54,2022-06-21,12.0,954,-25.0,-15.0,0.09,-39.91
55,2021-04-11,13.9,7154,65.41,53.02,23.78,142.21
56,2023-03-09,11.2,366099,-25.0,-15.0,-0.47,-40.47
57,2022-02-28,4.9,4596,34.31,-15.0,-5.0,14.31
58,2023-02-17,4.9,573,-25.0,49.98,-5.0,19.98
59,2020-10-08,8.7,5799,6.79,750.0,-5.0,751.79
60,2019-01-21,4.1,3004,13.17,-15.0,-3.63,-5.47
61,2021-04-20,6.7,9671,94.01,19.07,217.7,330.78
62,2019-06-16,6.5,9377,23.21,-9.46,-0.32,13.43
63,2022-07-21,8.2,1265,-18.44,-14.98,-5.0,-38.42
64,2020-01-23,10.8,10004,34.64,66.24,42.88,143.76
65,2020-08-23,5.1,3225,17.0,-15.0,-5.0,-3.0
66,2019-11-12,9.0,35424,-25.0,25.2,13.98,14.18
67,2019-01-14,7.7,855,32.38,15.3,-5.0,42.68
68,2019-08-30,7.8,12337,8.75,50.02,11.63,70.41
69,2021-02-15,9.8,4979,-4.42,14.09,25.08,34.74
70,2022-10-01,6.9,458,44.44,-15.0,-4.44,25.0
71,2020-07-18,9.0,47737,562.78,59.86,1.91,624.56
72,2021-06-16,10.2,52860,13.89,68.75,-5.0,77.65
73,2022-09-25,7.4,27143,5.59,-15.0,43.46,34.05
74,2019-04-02,8.8,1203,83.99,-15.0,12.25,81.25
75,2022-10-22,9.3,8060,7.03,5.04,5.58,17.65
76,2021-08-13,6.3,7451,122.62,-11.49,26.39,137.52
77,2023-01-18,6.6,552,22.44,-9.21,4.79,18.02
78,2022-12-22,3.4,2200,25.98,-15.0,75.47,86.45
79,2020-05-23,5.6,2384,68.28,55.24,31.75,155.27
80,2021-02-14,4.2,311,-25.0,0.17,11.09,-13.74
81,2019-02-04,8.2,1042,-23.3,73.55,13.11,63.36
82,2019-07-25,10.3,1836,-25.0,-15.0,87.92,47.92
83,2022-01-09,9.9,746010,-9.75,36.12,250.0,276.37
84,2023-05-05,10.8,34181,-25.0,-15.0,21.55,-18.45
85,2022-11-12,7.8,1275,35.83,-15.0,27.67,48.5
86,2021-10-22,8.0,22329,70.98,22.76,7.68,101.43
87,2021-10-18,12.0,15433,-25.0,5.07,-5.0,-24.93
88,2022-11-14,3.8,26161,-25.0,35.3,48.74,59.04
89,2020-07-19,3.2,12906,77.75,31.47,-5.0,104.22
90,2022-02-03,7.8,10904,38.51,5.77,0.41,44.69
91,2023-12-01,10.1,19456,-25.0,21.56,-5.0,-8.44
92,2023-02-09,4.9,985,-25.0,-15.0,3.22,-36.78
93,2020-12-03,8.2,1172,-25.0,78.74,7.67,61.41
94,2020-02-06,7.2,3655,8.51,130.32,-5.0,133.83
95,2020-12-30,5.0,251978,33.83,7.07,9.97,50.87
96,2023-04-29,8.3,9814,56.51,-15.0,-3.57,37.94
97,2019-06-11,2.9,2497,25.35,7.23,-5.0,27.58
98,2019-07-21,9.4,967,-5.02,-15.0,-5.0,-25.02
99,2021-09-22,10.6,7445,-16.97,-15.0,14.29,-17.68
100,2019-09-27,6.1,4566,-25.0,74.71,84.11,133.82
101,2021-03-26,10.5,2389,-15.18,3.63,-5.0,-16.55
102,2022-07-18,9.6,93216,-25.0,125.67,-1.72,98.95
103,2020-03-31,5.1,6824,465.19,-6.34,-4.89,453.97
104,2023-01-25,7.4,13256,-25.0,23.87,0.59,-0.53
105,2023-10-17,9.5,478136,-9.06,-14.8,91.46,67.61
106,2022-06-29,9.1,4934,10.33,-15.0,-5.0,-9.67
107,2021-10-13,3.8,19802,16.87,-15.0,-5.0,-3.13
108,2023-09-22,9.3,9307,10.06,750.0,-5.0,755.06
109,2019-10-23,4.6,589,-18.16,104.54,-5.0,81.38
110,2023-10-15,3.2,19084,-25.0,3.5,-5.0,-26.5
111,2020-12-20,9.3,5269,-25.0,91.08,11.72,77.8
112,2023-11-08,7.5,18524,3.39,-15.0,-5.0,-16.61
113,2019-12-04,8.3,2383,-25.0,18.98,-5.0,-11.02
114,2021-05-28,11.8,2132,11.73,6.24,9.02,26.99
115,2021-12-12,7.3,3845,61.4,-15.0,102.92,149.33
116,2021-03-02,5.6,4975,1.11,18.31,-1.12,18.29
117,2019-08-05,3.7,11368,10.57,141.28,-5.0,146.85
118,2021-02-02,11.0,2543,1250.0,5.31,-5.0,1250.31
119,2019-07-07,9.0,11110,-25.0,-15.0,-5.0,-45.0
120,2020-01-15,8.9,14186,-25.0,307.07,-5.0,277.07
121,2020-05-07,9.9,7227,-25.0,-15.0,2.5,-37.5
122,2021-11-30,12.3,1691,-25.0,-13.3,-4.96,-43.26
123,2022-03-26,5.3,7018,-25.0,-15.0,62.02,22.02
124,2019-01-15,5.2,6587,-25.0,-15.0,16.78,-23.22
125,2019-03-06,7.5,6754,51.69,-2.86,-5.0,43.83
126,2020-06-04,5.1,733,40.23,-15.0,-5.0,20.23
127,2022-09-29,8.5,3854,1.13,64.23,-5.0,60.36
128,2022-02-26,6.8,2373,4.65,76.28,-4.26,76.67
129,2020-10-09,9.5,5015,-8.04,81.72,-5.0,68.68
130,2023-02-04,7.0,9422,-25.0,-15.0,58.79,18.79
131,2021-12-22,8.8,4631,43.76,738.44,-5.0,777.2
132,2022-03-08,6.2,2126,-25.0,-15.0,-5.0,-45.0
133,2023-03-03,9.2,6707,58.88,-15.0,15.18,59.06
134,2020-08-15,10.1,1791,96.1,123.83,38.72,258.66
135,2020-01-27,7.3,1829,6.28,109.09,-5.0,110.37
136,2023-08-26,9.6,1800,110.92,-0.05,12.27,123.14
137,2020-02-23,6.9,1164,121.69,-15.0,57.26,163.95
138,2019-10-16,5.3,14090,13.6,-15.0,30.1,28.7
139,2020-01-14,9.8,2034,12.29,-15.0,-5.0,-7.71
140,2023-12-02,8.4,7593,18.37,-15.0,0.61,3.98
141,2023-02-22,11.1,105419,300.92,-15.0,0.47,286.38
142,2019-08-19,4.6,7810,14.08,2.09,41.95,58.12
143,2021-10-14,7.2,4360,32.77,61.85,-5.0,89.62
144,2019-02-10,6.5,3992,5.86,-15.0,-5.0,-14.14
145,2021-11-17,7.8,4163,195.83,40.48,-5.0,231.31
146,2019-05-15,4.3,8006,-25.0,26.19,5.12,6.32
147,2019-07-20,11.3,11693,8.51,-15.0,-5.0,-11.49
148,2021-02-18,7.3,3515,-10.56,5.63,64.21,59.28
149,2021-07-18,2.2,3065,30.76,3.24,3.67,37.67
150,2021-11-22,3.6,7457,137.01,151.01,-5.0,283.02
151,2021-12-07,6.8,3094,-13.66,-8.99,-5.0,-27.65
152,2020-05-17,4.1,4367,-9.48,-15.0,10.7,-13.78
153,2020-02-11,8.6,23406,-25.0,120.89,6.35,102.25
154,2023-05-17,11.4,5783,111.82,-15.0,-5.0,91.82
155,2023-10-18,5.8,4172,-25.0,110.85,-5.0,80.85
156,2021-03-15,9.5,29751,-4.46,3.12,43.15,41.81
157,2019-04-09,12.0,3546,119.91,56.51,-5.0,171.43
158,2020-11-14,1.0,15259,10.02,38.36,11.6,59.98
159,2020-12-26,7.2,447,81.85,12.16,-5.0,89.01
160,2023-04-20,6.1,5850,32.59,-15.0,-3.26,14.32
161,2021-08-18,5.7,23079,-21.87,-15.0,-5.0,-41.87
162,2023-10-29,9.6,48763,-25.0,-15.0,4.92,-35.08
163,2020-09-04,6.0,1319,1250.0,93.37,-5.0,1338.37
164,2023-01-25,8.6,33890,-25.0,3.1,-5.0,-26.9
165,2020-10-04,8.7,36015,-2.54,-2.75,81.74,76.45
166,2023-11-28,6.5,3258,-25.0,495.53,-5.0,465.53
167,2021-10-25,12.5,7596,0.43,3.7,-5.0,-0.88
168,2022-05-26,12.4,5718,-25.0,-9.61,4.96,-29.65
169,2020-05-17,1.0,1826,120.9,-14.89,4.72,110.74
170,2021-02-05,9.8,441,-25.0,14.38,-5.0,-15.62
171,2020-02-02,8.6,3649,122.99,68.98,-4.2,187.78
172,2021-05-20,4.8,111593,57.72,55.82,-5.0,108.55
173,2021-03-05,8.1,1285,15.39,-15.0,-5.0,-4.61
174,2020-01-28,10.8,3769,-9.46,-15.0,0.08,-24.38
175,2019-07-26,6.9,17350,400.88,-15.0,-5.0,380.88
176,2021-11-04,6.1,9151,13.02,-15.0,75.5,73.52
177,2023-04-27,7.9,14537,-20.85,172.67,-5.0,146.82
178,2021-06-10,8.4,5514,-2.63,-15.0,11.47,-6.16
179,2023-01-24,8.1,41392,-25.0,33.01,9.41,17.42
180,2023-09-11,9.0,3048,-12.27,129.29,17.51,134.53
181,2023-05-18,5.1,9278,1250.0,-15.0,33.05,1268.05
182,2021-05-13,10.2,129575,149.72,123.28,-3.59,269.41
183,2021-01-12,9.3,10476,-25.0,-15.0,-5.0,-45.0
184,2022-06-18,10.5,4248,122.04,63.98,6.08,192.1
185,2020-07-17,4.1,2555,146.96,-15.0,-5.0,126.96
186,2021-10-17,11.3,6649,36.43,22.01,-5.0,53.44
187,2019-04-06,9.4,878,-25.0,64.3,-5.0,34.3
188,2023-10-24,4.5,19724,55.53,28.12,16.69,100.34
189,2020-04-29,7.5,5092,148.59,0.79,-5.0,144.38
190,2022-12-01,8.9,1358,66.17,-15.0,-1.52,49.65
191,2019-08-19,12.5,6819,-1.5,635.34,-5.0,628.85
192,2021-01-18,5.3,8276,83.14,92.26,-5.0,170.41
193,2023-08-06,17.6,5138,106.64,-15.0,-5.0,86.64
194,2022-04-09,6.9,1489,2.84,78.91,-5.0,76.75
195,2020-06-24,3.7,11471,1250.0,-3.7,-5.0,1241.3
196,2021-11-25,9.2,10519,-25.0,6.26,2.89,-15.85
197,2020-06-08,6.4,10712,-8.18,199.28,8.46,199.56
198,2022-03-29,2.0,12272,-25.0,-15.0,-1.08,-41.08
199,2023-09-19,11.4,205,-25.0,8.63,-2.79,-19.17
200,2022-06-20,8.7,36944,-25.0,-11.21,5.99,-30.22
201,2022-01-14,12.6,5455,49.08,-9.64,9.15,48.59
202,2023-12-25,7.3,5060,-1.16,312.62,14.13,325.59
203,2020-07-31,5.0,981,58.65,-15.0,-5.0,38.65
204,2020-11-12,4.5,2535,88.46,182.54,63.55,334.56
205,2020-07-10,4.2,9942,-25.0,40.36,1.7,17.06
206,2023-05-17,9.7,87291,-25.0,-15.0,-5.0,-45.0
207,2021-10-09,9.1,8375,450.3,111.89,4.38,566.57
208,2020-10-07,5.2,7323,-25.0,-15.0,-5.0,-45.0
209,2021-03-06,6.2,1760,-4.63,422.3,1.41,419.08
210,2021-11-17,12.1,83,52.74,42.6,15.56,110.9
211,2023-07-02,9.2,673,8.84,-15.0,-5.0,-11.16
212,2023-04-29,11.3,807134,-25.0,281.41,-5.0,251.41
213,2022-09-25,9.2,8371,7.31,9.1,52.29,68.7
214,2023-12-27,10.3,22650,109.48,-15.0,-5.0,89.48
215,2022-09-16,8.5,8762,-25.0,16.96,231.7,223.66
216,2023-07-22,1.1,14622,-25.0,334.98,1.92,311.9
217,2023-03-10,11.1,3197,-18.65,-15.0,4.21,-29.44
218,2022-10-03,7.2,17,1250.0,5.28,2.27,1257.55
219,2023-02-05,7.4,1375,54.25,-15.0,-5.0,34.25
220,2022-06-08,6.6,73201,-6.69,-13.56,-5.0,-25.25
221,2019-07-09,7.8,167568,-25.0,-15.0,-4.28,-44.28
222,2022-06-02,5.5,31256,48.93,-15.0,11.17,45.1
223,2022-11-09,13.1,6738,-25.0,126.73,80.01,181.74
224,2022-11-01,8.3,21637,-25.0,-15.0,39.03,-0.97
225,2022-07-30,6.0,6292,-25.0,10.53,-1.33,-15.8
226,2020-09-24,5.8,1850,89.67,-3.06,-5.0,81.61
227,2020-09-19,6.8,4741,9.27,-15.0,-5.0,-10.73
228,2021-08-30,9.6,2046,-25.0,30.73,-5.0,0.73
229,2023-11-04,13.5,22247,-7.55,32.31,9.13,33.9
230,2022-07-06,6.5,28261,-25.0,-15.0,3.12,-36.88
231,2022-10-14,10.6,1964,-25.0,43.19,10.72,28.91
232,2020-12-10,8.2,2172,-25.0,-5.64,-1.12,-31.76
233,2023-01-19,3.6,25388,38.48,308.97,45.47,392.92
234,2022-12-05,8.2,1660,-25.0,-15.0,-5.0,-45.0
235,2020-10-10,9.5,3658,419.5,0.23,3.5,423.22
236,2019-11-14,9.7,11290,71.72,34.5,-5.0,101.22
237,2023-08-28,9.9,553,-25.0,-15.0,-5.0,-45.0
238,2022-06-02,5.9,491,-21.7,125.06,-4.17,99.19
239,2022-06-11,10.0,10752,-25.0,-7.03,9.06,-22.97
240,2020-11-14,2.5,5205,152.54,-4.34,-3.38,144.82
241,2020-10-25,9.1,8455,13.44,-15.0,16.95,15.4
242,2022-10-29,4.5,23481,17.31,3.31,-5.0,15.62
243,2023-08-23,11.3,88928,-5.01,-13.5,-5.0,-23.51
244,2023-06-20,9.1,1148,26.96,-15.0,-5.0,6.96
245,2023-02-04,4.0,7797,65.06,-4.37,75.91,136.6
246,2022-06-10,8.6,18619,63.78,-15.0,2.52,51.3
247,2023-09-12,8.6,25583,7.93,9.51,-1.39,16.06
248,2022-02-10,7.3,1974,-25.0,-15.0,-5.0,-45.0
249,2023-03-01,8.7,1067,17.06,-15.0,12.03,14.1
250,2020-03-17,9.1,11185,-0.1,-15.0,-5.0,-20.1
251,2020-07-17,6.1,3899,-25.0,20.23,-4.06,-8.83
252,2022-07-15,4.4,28611,25.34,2.89,3.09,31.32
253,2023-03-14,4.9,9395,490.31,-15.0,7.05,482.36
254,2022-11-10,7.4,18874,-25.0,17.52,-5.0,-12.48
255,2022-11-11,10.6,6052,140.66,12.81,-5.0,148.48
256,2022-02-10,5.2,7557,55.79,750.0,-5.0,800.79
257,2023-06-25,6.2,5711,-2.07,-12.16,65.31,51.08
258,2023-07-07,9.6,12218,-25.0,-15.0,18.32,-21.68
259,2021-08-09,7.8,2806,34.99,38.08,10.06,83.13
260,2022-01-09,1.8,10695,-3.87,1.15,4.23,1.51
261,2020-11-29,8.7,7185,-25.0,119.3,-5.0,89.3
262,2019-04-23,7.4,7453,-25.0,-15.0,6.9,-33.1
263,2019-01-02,4.8,7163,14.51,7.75,-5.0,17.26
264,2020-10-03,5.5,1271,-25.0,-15.0,-5.0,-45.0
265,2019-08-08,8.9,1807,224.19,-15.0,-5.0,204.19
266,2023-05-09,10.1,2848,-25.0,329.52,7.81,312.33
267,2021-05-04,5.1,11326,36.81,-15.0,22.49,44.3
268,2023-10-26,8.1,14543,74.34,-15.0,-5.0,54.34
269,2022-06-02,6.8,45620,-1.54,185.36,-5.0,178.82
270,2020-01-20,6.5,48050,-25.0,36.78,3.17,14.94
271,2022-11-27,9.0,15909,-25.0,8.44,34.88,18.32
272,2023-07-20,7.3,10007,14.08,-6.45,5.7,13.33
273,2022-02-27,7.6,1530,-25.0,100.92,-5.0,70.92
274,2021-12-12,9.9,4854,-22.4,-7.23,-5.0,-34.63
275,2023-09-04,6.1,4184,23.53,2.3,-0.31,25.52
276,2020-12-30,5.4,7688,50.95,41.47,-5.0,87.42
277,2023-08-23,12.5,30174,18.33,-15.0,2.89,6.22
278,2023-09-30,11.2,4107,122.79,-15.0,-5.0,102.79
279,2022-12-10,7.8,17828,45.22,-12.29,-5.0,27.93
280,2019-09-04,5.5,10514,31.37,-13.71,13.92,31.58
281,2021-04-15,11.6,3254,160.71,-15.0,-5.0,140.71
282,2023-01-02,7.3,5483,-21.41,-1.26,119.6,96.92
283,2019-07-22,6.7,26740,1250.0,0.93,-3.57,1247.36
284,2022-04-22,12.2,2950,36.08,-15.0,-5.0,16.08
285,2019-05-03,6.7,37184,27.34,16.08,-2.58,40.84
286,2020-02-05,8.7,2514,-25.0,85.52,-5.0,55.52
287,2021-02-05,5.9,38701,99.98,-15.0,3.71,88.69
288,2019-10-21,6.4,2858,-17.34,4.87,-2.73,-15.2
289,2019-10-07,9.8,8086,-25.0,3.35,-2.81,-24.45
290,2021-06-02,9.0,4096,-25.0,19.96,-1.37,-6.4
291,2023-06-22,12.6,87,1250.0,93.11,48.58,1391.69
292,2019-07-17,11.3,2268,0.93,2.02,24.77,27.72
293,2021-09-08,12.9,164,-5.41,125.05,12.14,131.77
294,2023-03-15,13.0,18197,-10.71,-15.0,-5.0,-30.71
295,2021-01-21,6.2,13046,-8.86,14.7,-5.0,0.84
296,2019-05-24,5.0,656,-19.68,22.41,-5.0,-2.28
297,2020-08-31,12.6,2434,-25.0,192.05,-5.0,162.05
298,2022-05-09,5.9,616,87.37,-15.0,6.14,78.5
299,2022-02-21,8.1,2029,75.45,-15.0,-4.92,55.54
300,2019-07-06,7.2,2441,55.78,-15.0,-5.0,35.78
301,2022-09-11,5.4,7465,23.42,-15.0,90.31,98.73
302,2020-04-08,6.3,701,1250.0,51.68,12.82,1314.5
303,2022-10-04,5.4,6023,34.12,1.08,-2.24,32.95
304,2023-11-30,3.8,1019,-4.29,-15.0,-5.0,-24.29
305,2020-10-21,6.6,5522,18.3,-9.13,-5.0,4.17
306,2021-02-02,9.9,3772,179.79,-0.13,16.08,195.74
307,2021-08-12,13.1,12393,2.73,6.86,-5.0,4.59
308,2020-02-07,8.6,823,26.57,-15.0,26.81,38.38
309,2022-10-01,5.8,1289,3.29,34.69,-5.0,32.98
310,2023-03-15,10.4,3561,86.78,-15.0,14.42,86.21
311,2019-05-27,7.4,31270,-25.0,157.24,15.85,148.09
312,2022-03-17,8.6,4543,218.98,-15.0,5.66,209.64
313,2021-05-13,11.6,16294,-25.0,7.97,8.35,-8.68
314,2023-10-01,10.5,10760,23.7,12.28,11.45,47.44
315,2020-05-03,1.6,3650,-1.82,41.9,-5.0,35.08
316,2021-07-17,8.8,14566,28.06,-15.0,-5.0,8.06
317,2023-07-22,6.8,2782,-25.0,-15.0,-5.0,-45.0
318,2020-07-04,8.2,3471,-3.62,10.84,-5.0,2.22
319,2019-12-04,4.6,16067,-25.0,-15.0,-2.87,-42.87
320,2021-05-21,7.6,2760,281.79,15.0,7.57,304.36
321,2020-10-02,4.3,22314,19.95,-15.0,-5.0,-0.05
322,2023-12-08,10.2,3421,-17.31,93.19,6.3,82.18
323,2020-04-17,11.7,1000000,-25.0,-13.1,-1.61,-39.7
324,2019-05-31,5.9,3253,136.86,1.74,-0.97,137.63
325,2022-12-09,12.6,7239,-6.54,-8.42,0.33,-14.63
326,2022-08-14,10.1,1927,-20.83,69.69,-5.0,43.85
327,2023-06-23,10.0,6581,27.85,750.0,45.75,823.6
328,2019-09-20,9.0,57072,21.3,8.71,16.4,46.41
329,2023-11-23,10.2,15003,20.8,-13.72,29.93,37.0
330,2019-05-24,10.6,1608,73.94,21.83,-5.0,90.76
331,2019-12-12,2.0,1282,-4.49,-15.0,250.0,230.51
332,2020-09-15,9.5,9624,57.1,9.79,-3.2,63.7
333,2021-10-13,13.3,6075,-25.0,55.27,-5.0,25.27
334,2023-05-15,8.3,629,23.56,44.91,18.04,86.51
335,2021-05-30,10.5,58082,26.61,79.98,36.8,143.39
336,2019-01-02,6.8,2281,-21.42,-15.0,-5.0,-41.42
337,2021-06-15,2.5,25141,-2.08,-2.49,-2.51,-7.08
338,2022-08-20,5.7,3371,-24.47,-8.82,12.17,-21.12
339,2019-09-11,15.8,622,-25.0,-15.0,-5.0,-45.0
340,2023-08-03,15.7,9086,-25.0,38.94,-5.0,8.94
341,2020-03-28,7.1,4069,36.94,103.33,3.45,143.73
342,2021-11-26,9.1,4103,-0.16,-4.63,16.87,12.07
343,2022-03-29,12.1,4974,32.58,54.94,-5.0,82.52
344,2021-10-11,8.2,12918,-25.0,-15.0,-5.0,-45.0
345,2019-01-09,9.9,9858,-25.0,-15.0,-5.0,-45.0
346,2022-06-10,13.8,65412,-25.0,-15.0,-5.0,-45.0
347,2022-01-27,9.3,1043,28.25,68.72,-5.0,91.98
348,2023-08-10,9.6,54665,120.48,140.9,-5.0,256.37
349,2021-03-26,7.7,30615,-12.92,-15.0,-3.01,-30.92
350,2019-07-27,5.9,4498,11.56,96.23,-4.9,102.89
351,2022-02-28,10.8,3792,81.61,-15.0,14.95,81.56
352,2020-02-08,12.2,7219,-25.0,18.65,29.7,23.35
353,2019-06-01,5.8,32022,43.68,10.06,-5.0,48.74
354,2019-02-23,2.2,3350,75.26,-15.0,-3.61,56.65
355,2022-02-17,1.0,1715,65.24,-15.0,-5.0,45.24
356,2023-08-24,8.9,27387,-25.0,324.8,202.87,502.67
357,2020-09-19,7.8,2085,20.19,262.55,4.58,287.31
358,2020-08-09,13.1,2580,890.82,297.01,60.7,1248.54
359,2023-07-07,7.3,757,285.18,16.69,6.12,307.99
360,2022-12-14,12.2,20256,-16.17,0.44,-5.0,-20.73
361,2022-12-16,5.7,6697,3.02,9.83,0.79,13.65
362,2019-04-14,9.6,2860,-1.37,-15.0,0.4,-15.97
363,2019-09-11,6.4,3188,-25.0,83.37,1.85,60.23
364,2022-06-04,7.4,405,-11.81,-7.33,41.13,21.99
365,2022-02-09,1.0,18608,-25.0,-11.22,41.72,5.5
366,2020-05-24,4.3,9183,-25.0,30.13,-5.0,0.13
367,2023-02-05,6.6,86327,-0.95,-15.0,-3.15,-19.11
368,2019-04-09,6.6,3146,39.59,16.74,-3.23,53.11
369,2019-06-02,10.5,2071,-25.0,13.05,-5.0,-16.95
370,2021-07-02,5.0,14738,38.3,750.0,79.67,867.97
371,2021-05-27,10.5,112547,0.79,92.52,12.59,105.9
372,2019-12-04,2.6,145,-9.92,-15.0,-5.0,-29.92
373,2023-09-26,9.7,20169,157.45,-11.24,-2.18,144.03
374,2021-04-01,6.8,2922,-25.0,2.38,-5.0,-27.62
375,2022-04-01,4.9,3715,16.15,-15.0,-5.0,-3.85
376,2023-10-10,11.0,115,-25.0,-15.0,-5.0,-45.0
377,2021-08-14,13.2,2832,40.08,76.94,-0.39,116.63
378,2023-09-01,11.3,410,-25.0,-15.0,-5.0,-45.0
379,2019-06-10,8.2,1478,-25.0,300.77,-5.0,270.77
380,2023-05-23,12.9,12699,290.11,-4.61,6.94,292.44
381,2021-03-11,9.6,631,40.89,-3.66,-4.7,32.53
382,2020-02-02,7.5,945,-9.99,165.08,5.63,160.73
383,2022-07-24,4.3,24622,-25.0,128.7,-5.0,98.7
384,2021-03-26,5.0,9401,30.25,19.48,-5.0,44.73
385,2023-03-08,10.8,8143,-4.07,32.51,1.15,29.6
386,2022-11-16,6.4,3322,-25.0,20.65,10.48,6.14
387,2022-03-04,4.6,1246,202.77,-15.0,4.12,191.89
388,2022-05-03,9.4,16859,386.85,-15.0,11.85,383.7
389,2020-02-05,7.5,3386,180.35,-15.0,23.28,188.63
390,2020-10-01,7.6,3274,-25.0,172.03,0.87,147.91
391,2021-11-22,5.8,3124,-25.0,48.51,-2.43,21.08
392,2020-11-18,1.0,14092,7.23,87.79,-5.0,90.02
393,2020-04-04,4.5,3696,28.0,-15.0,26.19,39.19
394,2021-08-12,3.1,39490,-25.0,-8.88,2.04,-31.84
395,2020-04-14,10.8,4990,12.27,-13.52,-5.0,-6.25
396,2022-10-30,14.6,3906,340.86,-15.0,-5.0,320.86
397,2021-11-11,7.5,3223,-25.0,-15.0,-5.0,-45.0
398,2021-01-19,1.0,6690,-25.0,26.04,12.95,13.99
399,2023-08-21,8.2,2483,-25.0,-15.0,-1.08,-41.08
400,2019-02-07,12.4,18929,1250.0,53.41,-3.17,1300.24
401,2019-08-18,8.2,27267,10.0,7.49,-5.0,12.49
402,2022-10-20,9.7,2096,-12.62,40.67,83.1,111.16
403,2020-07-16,9.2,567,-25.0,57.19,-5.0,27.19
404,2020-03-13,7.5,4841,-25.0,-15.0,9.01,-30.99
405,2023-12-05,9.0,5729,-5.56,12.86,2.1,9.39
406,2022-07-30,5.4,19124,-25.0,750.0,-5.0,720.0
407,2019-01-27,8.0,16896,-25.0,10.31,-3.16,-17.86
408,2019-08-14,8.1,5350,-25.0,5.9,16.97,-2.13
409,2022-07-24,1.6,2311,-25.0,34.15,-5.0,4.15
410,2021-03-08,7.6,19692,11.64,184.23,3.02,198.9
411,2023-06-21,5.1,3567,-5.15,20.25,1.8,16.9
