Video_ID,Upload_Date,Length_Minutes,Views,Ads_Revenue,Sponsorship_Revenue,Donations,Total_Revenue,Expenses,Net_Profit
172,2021-05-20,4.8,111593,107.72,85.82,18.4,211.95,11.04,200.91
173,2021-03-05,8.1,1285,65.39,56.51,18.52,140.43,10.0,130.43
174,2020-01-28,10.8,3769,65.5,52.63,10.04,128.17,69.26,58.92
175,2019-07-26,6.9,17350,450.88,406.56,47.93,905.37,36.77,868.6
176,2021-11-04,6.1,9151,63.02,51.54,78.6,193.15,10.0,183.15
177,2023-04-27,7.9,14537,67.77,202.67,78.45,348.89,10.0,338.89
178,2021-06-10,8.4,5514,62.25,44.15,20.33,126.74,23.74,103.0
179,2023-01-24,8.1,41392,129.84,63.01,18.54,211.39,10.0,201.39
180,2023-09-11,9.0,3048,60.15,159.29,25.97,245.41,116.33,129.08
181,2023-05-18,5.1,9278,1443.47,75.05,40.08,1558.6,51.44,1507.16
182,2021-05-13,10.2,129575,199.72,153.28,13.4,366.4,95.25,271.14
183,2021-01-12,9.3,10476,196.41,84.49,300.0,580.9,68.51,512.39
184,2022-06-18,10.5,4248,172.04,93.98,15.57,281.59,48.2,233.39
185,2020-07-17,4.1,2555,196.96,97.99,52.54,347.48,10.0,337.48
186,2021-10-17,11.3,6649,86.43,52.01,20.52,158.96,165.18,-6.22
187,2019-04-06,9.4,878,341.11,94.3,25.85,461.26,62.17,399.09
188,2023-10-24,4.5,19724,105.53,58.12,25.16,188.81,132.55,56.26
189,2020-04-29,7.5,5092,198.59,30.79,17.76,247.14,136.6,110.54
190,2022-12-01,8.9,1358,116.17,82.85,10.21,209.23,28.07,181.16
191,2019-08-19,12.5,6819,50.07,665.34,27.83,743.24,141.91,601.33
192,2021-01-18,5.3,8276,133.14,122.26,102.49,357.89,63.67,294.22
193,2023-08-06,17.6,5138,156.64,62.31,300.0,518.95,134.36,384.59
194,2022-04-09,6.9,1489,52.84,108.91,22.09,183.84,10.0,173.84
195,2020-06-24,3.7,11471,1500.0,33.9,26.18,1560.08,10.0,1550.08
196,2021-11-25,9.2,10519,120.49,36.26,12.66,169.41,207.28,-37.86
197,2020-06-08,6.4,10712,58.03,229.28,17.73,305.03,10.0,295.03
198,2022-03-29,2.0,12272,210.94,60.81,11.89,283.63,10.0,273.63
199,2023-09-19,11.4,205,106.11,38.63,13.04,157.78,268.61,-110.83
200,2022-06-20,8.7,36944,114.94,43.64,15.44,174.02,600.0,-425.98
201,2022-01-14,12.6,5455,99.08,43.01,18.21,160.3,130.94,29.36
202,2023-12-25,7.3,5060,56.45,342.62,22.8,421.88,16.15,405.72
203,2020-07-31,5.0,981,108.65,48.0,13.1,169.75,24.41,145.35
204,2020-11-12,4.5,2535,138.46,212.54,67.79,418.8,138.11,280.69
205,2020-07-10,4.2,9942,86.07,70.36,11.59,168.01,109.29,58.72
206,2023-05-17,9.7,87291,86.74,104.41,26.64,217.79,98.97,118.82
207,2021-10-09,9.1,8375,500.3,141.89,13.92,656.11,66.65,589.47
208,2020-10-07,5.2,7323,84.57,65.38,41.92,191.88,71.22,120.65
209,2021-03-06,6.2,1760,50.49,452.3,11.3,514.09,61.09,453.0
210,2021-11-17,12.1,83,102.74,72.6,24.11,199.45,63.51,135.94
211,2023-07-02,9.2,673,58.84,510.84,91.72,661.4,136.24,525.16
212,2023-04-29,11.3,807134,110.13,311.41,18.43,439.97,10.0,429.97
213,2022-09-25,9.2,8371,57.31,39.1,57.56,153.97,10.0,143.97
214,2023-12-27,10.3,22650,159.48,45.7,64.34,269.51,53.5,216.01
215,2022-09-16,8.5,8762,79.24,46.96,220.7,346.9,75.38,271.52
216,2023-07-22,1.1,14622,83.76,364.98,11.77,460.51,10.0,450.51
217,2023-03-10,11.1,3197,68.88,117.15,13.81,199.85,37.27,162.58
218,2022-10-03,7.2,17,1500.0,35.28,12.06,1547.35,74.12,1473.22
219,2023-02-05,7.4,1375,104.25,55.74,18.87,178.86,38.28,140.58
220,2022-06-08,6.6,73201,68.97,47.29,293.96,410.22,122.46,287.76
221,2019-07-09,7.8,167568,95.28,280.33,13.26,388.87,45.91,342.95
222,2022-06-02,5.5,31256,98.93,95.74,20.16,214.83,93.26,121.57
223,2022-11-09,13.1,6738,131.93,156.73,82.67,371.33,10.0,361.33
224,2022-11-01,8.3,21637,207.87,55.15,45.57,308.59,104.6,203.99
225,2022-07-30,6.0,6292,91.16,40.53,10.14,141.84,91.35,50.49
226,2020-09-24,5.8,1850,139.67,31.47,51.64,222.77,79.83,142.94
227,2020-09-19,6.8,4741,59.27,521.85,22.34,603.46,59.34,544.12
228,2021-08-30,9.6,2046,564.13,60.73,17.54,642.4,40.36,602.04
229,2023-11-04,13.5,22247,57.99,62.31,18.32,138.63,27.34,111.28
230,2022-07-06,6.5,28261,110.64,86.59,12.8,210.04,10.0,200.04
231,2022-10-14,10.6,1964,227.91,73.19,19.77,320.88,10.0,310.88
232,2020-12-10,8.2,2172,441.42,39.09,10.16,490.67,58.35,432.32
233,2023-01-19,3.6,25388,88.48,338.97,51.3,478.75,50.0,428.75
234,2022-12-05,8.2,1660,132.64,94.09,16.78,243.51,79.04,164.47
235,2020-10-10,9.5,3658,469.5,30.23,13.16,512.89,76.2,436.7
236,2019-11-14,9.7,11290,121.72,64.5,62.19,248.41,97.16,151.25
237,2023-08-28,9.9,553,95.95,114.21,47.35,257.51,207.12,50.39
238,2022-06-02,5.9,491,66.66,155.06,13.39,235.11,10.0,225.11
239,2022-06-11,10.0,10752,95.24,32.91,18.24,146.4,10.0,136.4
240,2020-11-14,2.5,5205,202.54,29.21,12.99,244.74,371.51,-126.77
241,2020-10-25,9.1,8455,63.44,44.18,25.43,133.06,31.77,101.29
242,2022-10-29,4.5,23481,67.31,33.31,20.12,120.75,10.0,110.75
243,2023-08-23,11.3,88928,52.18,43.03,19.04,114.25,125.42,-11.18
244,2023-06-20,9.1,1148,76.96,117.6,200.05,394.61,51.79,342.82
245,2023-02-04,4.0,7797,115.06,34.21,79.03,228.3,45.9,182.4
246,2022-06-10,8.6,18619,113.78,67.78,12.27,193.84,10.0,183.84
247,2023-09-12,8.6,25583,57.93,39.51,12.12,109.56,167.5,-57.94
248,2022-02-10,7.3,1974,368.96,79.75,15.39,464.11,579.32,-115.21
249,2023-03-01,8.7,1067,67.06,415.33,20.99,503.39,10.0,493.39
250,2020-03-17,9.1,11185,54.83,134.84,18.53,208.19,104.15,104.04
251,2020-07-17,6.1,3899,81.29,50.23,13.6,145.11,52.0,93.11
252,2022-07-15,4.4,28611,75.34,32.89,12.86,121.09,39.27,81.82
253,2023-03-14,4.9,9395,540.31,43.44,16.34,600.09,10.0,590.09
254,2022-11-10,7.4,18874,198.3,47.52,23.07,268.89,10.0,258.89
255,2022-11-11,10.6,6052,190.66,42.81,16.42,249.89,24.48,225.41
256,2022-02-10,5.2,7557,105.79,900.0,61.04,1066.83,64.61,1002.22
257,2023-06-25,6.2,5711,57.83,31.76,69.33,158.93,122.94,35.98
258,2023-07-07,9.6,12218,79.71,171.66,26.69,278.06,60.94,217.13
259,2021-08-09,7.8,2806,84.99,68.08,19.21,172.28,12.99,159.29
260,2022-01-09,1.8,10695,52.31,31.15,13.84,97.3,116.72,-19.42
261,2020-11-29,8.7,7185,72.95,149.3,15.12,237.37,20.18,217.19
262,2019-04-23,7.4,7453,78.37,119.03,16.3,213.69,39.17,174.52
263,2019-01-02,4.8,7163,64.51,37.75,27.86,130.13,68.97,61.16
264,2020-10-03,5.5,1271,82.65,93.66,131.29,307.6,25.96,281.64
265,2019-08-08,8.9,1807,274.19,135.32,17.24,426.75,125.14,301.61
266,2023-05-09,10.1,2848,327.04,359.52,17.08,703.64,10.0,693.64
267,2021-05-04,5.1,11326,86.81,900.0,30.43,1017.25,100.31,916.94
268,2023-10-26,8.1,14543,124.34,64.38,104.64,293.37,17.29,276.08
269,2022-06-02,6.8,45620,49.5,215.36,41.75,306.61,53.63,252.98
270,2020-01-20,6.5,48050,113.6,66.78,12.88,193.26,10.0,183.26
271,2022-11-27,9.0,15909,189.77,38.44,41.67,269.88,80.14,189.74
272,2023-07-20,7.3,10007,64.08,38.73,15.23,118.03,60.79,57.24
273,2022-02-27,7.6,1530,130.58,130.92,28.82,290.32,109.52,180.8
274,2021-12-12,9.9,4854,67.87,39.09,30.19,137.16,38.29,98.87
275,2023-09-04,6.1,4184,73.53,32.3,10.6,116.42,41.29,75.13
276,2020-12-30,5.4,7688,100.95,71.47,55.47,227.89,549.09,-321.2
277,2023-08-23,12.5,30174,68.33,47.69,12.58,128.6,104.64,23.97
278,2023-09-30,11.2,4107,172.79,358.69,16.69,548.17,62.81,485.36
279,2022-12-10,7.8,17828,95.22,44.03,60.88,200.13,76.06,124.07
280,2019-09-04,5.5,10514,81.37,41.21,22.65,145.23,72.37,72.85
281,2021-04-15,11.6,3254,210.71,44.28,21.6,276.59,43.51,233.08
282,2023-01-02,7.3,5483,65.64,32.96,118.69,217.29,109.3,108.0
283,2019-07-22,6.7,26740,1500.0,30.93,15.55,1546.48,50.63,1495.85
284,2022-04-22,12.2,2950,86.08,64.17,15.35,165.6,10.0,155.6
285,2019-05-03,6.7,37184,77.34,46.08,13.28,136.71,68.73,67.98
286,2020-02-05,8.7,2514,155.57,115.52,22.35,293.43,10.0,283.43
287,2021-02-05,5.9,38701,149.98,148.96,13.37,312.3,47.48,264.82
288,2019-10-21,6.4,2858,67.92,34.87,12.87,115.67,80.85,34.81
289,2019-10-07,9.8,8086,128.7,34.6,11.65,174.95,88.73,86.22
290,2021-06-02,9.0,4096,88.33,49.96,11.29,149.58,53.74,95.85
291,2023-06-22,12.6,87,1467.14,123.11,54.2,1644.45,152.06,1492.39
292,2019-07-17,11.3,2268,57.82,32.02,32.52,122.36,233.0,-110.63
293,2021-09-08,12.9,164,52.94,155.05,21.05,229.03,10.0,219.03
294,2023-03-15,13.0,18197,62.49,54.38,87.99,204.86,266.6,-61.74
295,2021-01-21,6.2,13046,64.51,44.7,143.57,252.78,62.72,190.06
296,2019-05-24,5.0,656,72.37,52.41,24.78,149.56,39.92,109.64
297,2020-08-31,12.6,2434,521.56,222.05,19.53,763.14,159.0,604.14
298,2022-05-09,5.9,616,137.37,117.71,15.52,270.6,34.19,236.41
299,2022-02-21,8.1,2029,125.45,51.06,15.04,191.56,59.7,131.86
300,2019-07-06,7.2,2441,105.78,50.21,16.84,172.83,10.0,162.83
301,2022-09-11,5.4,7465,73.42,388.86,92.03,554.31,60.63,493.68
302,2020-04-08,6.3,701,1500.0,81.68,21.6,1603.28,67.8,1535.48
303,2022-10-04,5.4,6023,84.12,31.08,11.04,126.23,56.08,70.15
304,2023-11-30,3.8,1019,49.37,50.35,54.31,154.02,10.0,144.02
305,2020-10-21,6.6,5522,68.3,41.44,17.64,127.39,48.55,78.84
306,2021-02-02,9.9,3772,229.79,31.08,24.64,285.51,10.0,275.51
307,2021-08-12,13.1,12393,52.73,36.86,40.24,129.82,80.1,49.72
308,2020-02-07,8.6,823,76.57,67.23,34.31,178.11,141.87,36.24
309,2022-10-01,5.8,1289,53.29,64.69,294.01,411.99,11.37,400.62
310,2023-03-15,10.4,3561,136.78,63.37,23.15,223.3,191.1,32.21
311,2019-05-27,7.4,31270,281.3,187.24,24.46,493.01,10.0,483.01
312,2022-03-17,8.6,4543,268.98,133.5,15.05,417.52,347.5,70.02
313,2021-05-13,11.6,16294,336.75,37.97,17.53,392.24,10.0,382.24
314,2023-10-01,10.5,10760,73.7,42.28,20.45,136.44,127.54,8.9
315,2020-05-03,1.6,3650,51.67,71.9,32.34,155.91,10.0,145.91
316,2021-07-17,8.8,14566,78.06,50.22,19.59,147.88,142.52,5.36
317,2023-07-22,6.8,2782,1500.0,125.11,30.67,1655.78,44.87,1610.91
318,2020-07-04,8.2,3471,55.85,40.84,36.7,133.39,69.63,63.76
319,2019-12-04,4.6,16067,79.59,55.23,12.61,147.44,62.73,84.71
320,2021-05-21,7.6,2760,331.79,45.0,16.86,393.65,94.19,299.46
321,2020-10-02,4.3,22314,69.95,138.58,75.16,283.69,77.32,206.37
322,2023-12-08,10.2,3421,62.94,123.19,15.72,201.85,10.0,191.85
323,2020-04-17,11.7,1000000,247.58,43.31,12.1,302.99,126.93,176.06
324,2019-05-31,5.9,3253,186.86,32.63,10.16,229.65,509.32,-279.66
325,2022-12-09,12.6,7239,50.22,35.6,10.32,96.14,456.5,-360.36
326,2022-08-14,10.1,1927,74.44,99.69,21.35,195.47,105.11,90.37
327,2023-06-23,10.0,6581,77.85,900.0,51.57,1029.43,37.2,992.23
328,2019-09-20,9.0,57072,71.3,38.71,24.9,134.91,10.0,124.91
329,2023-11-23,10.2,15003,70.8,41.12,37.21,149.13,10.0,139.13
330,2019-05-24,10.6,1608,123.94,51.83,14.59,190.35,10.0,180.35
331,2019-12-12,2.0,1282,51.96,156.19,300.0,508.15,10.0,498.15
332,2020-09-15,9.5,9624,107.1,39.79,12.53,159.42,114.11,45.31
333,2021-10-13,13.3,6075,110.6,85.27,16.58,212.46,10.0,202.46
334,2023-05-15,8.3,629,73.56,74.91,26.38,174.85,10.0,164.85
335,2021-05-30,10.5,58082,76.61,109.98,43.35,229.93,75.01,154.93
336,2019-01-02,6.8,2281,65.51,298.87,18.79,383.17,107.72,275.45
337,2021-06-15,2.5,25141,55.52,33.06,12.46,101.04,10.0,91.04
338,2022-08-20,5.7,3371,74.69,41.47,21.04,137.19,42.44,94.74
339,2019-09-11,15.8,622,118.33,630.55,300.0,1048.88,10.0,1038.88
340,2023-08-03,15.7,9086,96.6,68.94,16.49,182.03,50.54,131.49
341,2020-03-28,7.1,4069,86.94,133.33,13.13,233.41,10.0,223.41
342,2021-11-26,9.1,4103,53.48,35.84,25.31,114.63,111.13,3.5
343,2022-03-29,12.1,4974,82.58,84.94,88.8,256.33,37.75,218.57
344,2021-10-11,8.2,12918,81.44,91.07,36.92,209.43,56.1,153.33
345,2019-01-09,9.9,9858,438.92,74.52,27.62,541.06,52.97,488.09
